"Cod_TSE","Cod_IBGE","UF","localidade"
"89001","4300471","RS","ALMIRANTE TAMANDARE DO SUL"
"88986","4300034","RS","ACEGUA"
"12727","2200950","PI","AROEIRAS DO ITAIM"
"89028","4301073","RS","ARROIO DO PADRE"
"30775","2903276","BA","BARROCAS"
"89060","4302238","RS","BOA VISTA DO INCRA"
"89044","4302220","RS","BOA VISTA DO CADEADO"
"90905","5101852","MT","BOM JESUS DO ARAGUAIA"
"89087","4302584","RS","BOZANO"
"34010","2901550","BA","CAEM"
"22292","2504023","PB","CAMPO DE SANTANA"
"93580","5204854","GO","CAMPO LIMPO DE GOIAS"
"89109","4304614","RS","CANUDOS DO VALE"
"89125","4304622","RS","CAPAO BONITO DO SUL"
"89141","4304655","RS","CAPAO DO CIPO"
"89788","5103254","MT","COLNIZA"
"91006","5103361","MT","CONQUISTA DOESTE"
"89168","4305835","RS","COQUEIRO BAIXO"
"89184","4305934","RS","CORONEL PILAR"
"89206","4306130","RS","CRUZALTENSE"
"89800","5103437","MT","CURVELANDIA"
"98614","5003856","MS","FIGUEIRAO"
"89222","4308433","RS","FORQUETINHA"
"93564","5208152","GO","GAMELEIRA DE GOIAS"
"56308","3202256","ES","GOVERNADOR LINDENBERG"
"33650","2911550","BA","GOVERNADOR LOMANTO JUNIOR"
"93548","5210158","GO","IPIRANGA DE GOIAS"
"99095","5104535","MT","IPIRANGA DO NORTE"
"99110","5104545","MT","ITANHANGA"
"89249","4310652","RS","ITATI"
"89265","4310876","RS","JACUIZINHO"
"27065","2703759","AL","JEQUIA DA PRAIA"
"16306","2406155","RN","JUNDIA"
"89281","4311239","RS","LAGOA BONITA DO SUL"
"93602","5212253","GO","LAGOA SANTA"
"36919","2919450","BA","LIVRAMENTO DE NOSSA SENHORA"
"30007","2919553","BA","LUIS EDUARDO MAGALHAES"
"89303","4312179","RS","MATO QUEIMADO"
"58467","3302858","RJ","MESQUITA"
"90964","5106174","MT","NOVA NAZARE"
"89826","5106190","MT","NOVA SANTA HELENA"
"90948","5106315","MT","NOVO SANTO ANTONIO"
"89320","4313466","RS","NOVO XINGU"
"12718","2207793","PI","PAU DARCO DO PIAUI"
"89346","4314134","RS","PAULO BENTO"
"89567","4314175","RS","PEDRAS ALTAS"
"89362","4314464","RS","PINHAL DA SERRA"
"89389","4315313","RS","QUATRO IRMAOS"
"89400","4315958","RS","ROLADOR"
"89960","5107578","MT","RONDOLANDIA"
"89247","4316733","RS","SANTA CECILIA DO SUL"
"90980","5107743","MT","SANTA CRUZ DO XINGU"
"89443","4316972","RS","SANTA MARGARIDA DO SUL"
"91049","5107768","MT","SANTA RITA DO TRIVELATO"
"89843","5107792","MT","SANTO ANTONIO DO LESTE"
"89460","4318614","RS","SAO JOSE DO SUL"
"89486","4319364","RS","SAO PEDRO DAS MISSOES"
"90921","5107883","MT","SERRA NOVA DOURADA"
"89508","4321469","RS","TIO HUGO"
"91022","5108352","MT","VALE DE SAO DOMINGOS"
"89524","4323770","RS","WESTFALIA"
"7447","2103158","MA","CENTRO DO GUILHERME"
"23248","2609154","PE","MANARI"
"7161","2101731","MA","BELAGUA"
"1104","1200328","AC","JORDAO"
"12122","2201739","PI","BETANIA DO PIAUI"
"2020","1301654","AM","GUAJARA"
"12246","2206357","PI","MILTON BRANDAO"
"28436","2707206","AL","POCO DAS TRINCHEIRAS"
"7226","2102374","MA","CACHOEIRA GRANDE"
"8044","2108058","MA","PAULINO NEVES"
"8222","2110237","MA","SANTANA DO MARANHAO"
"8818","2109205","MA","PRESIDENTE JUSCELINO"
"7510","2102705","MA","CANTANHEDE"
"12327","2200053","PI","ACAUA"
"2399","1301803","AM","IPIXUNA"
"8443","2111672","MA","SAO ROBERTO"
"30791","2904753","BA","BURITIRAMA"
"23167","2603926","PE","CARNAUBEIRA DA PENHA"
"28916","2708956","AL","SENADOR RUI PALMEIRA"
"16187","2414753","RN","VENHA VER"
"19364","2503555","PB","CACIMBAS"
"28835","2709202","AL","TRAIPU"
"12700","2210391","PI","SAO MIGUEL DO FIDALGO"
"10901","2206951","PI","NOVO SANTO ANTONIO"
"7943","2106631","MA","MATOES DO NORTE"
"27316","2701605","AL","CANAPI"
"2313","1301506","AM","ENVIRA"
"28673","2708402","AL","SAO JOSE DA TAPERA"
"10804","2204550","PI","GUARIBAS"
"7978","2105005","MA","HUMBERTO DE CAMPOS"
"7455","2102408","MA","CAJAPIO"
"2330","1301605","AM","FONTE BOA"
"7307","2102150","MA","BREJO DE AREIA"
"7641","2104651","MA","GOVERNADOR NEWTON BELLO"
"8060","2108256","MA","PEDRO DO ROSARIO"
"7846","2105963","MA","LAGOA GRANDE DO MARANHAO"
"8419","2107100","MA","MORROS"
"10740","2202174","PI","CAMPO LARGO DO PIAUI"
"7927","2106375","MA","MARANHAOZINHO"
"8303","2111029","MA","SAO JOAO DO CARU"
"7170","2100907","MA","ARAIOSES"
"11410","2203420","PI","DOMINGOS MOURAO"
"8834","2109304","MA","PRESIDENTE VARGAS"
"1031","1200435","AC","SANTA ROSA"
"7064","2100832","MA","APICUM ACU"
"28193","2706000","AL","OLIVENCA"
"12505","2209658","PI","SAO FRANCISCO DE ASSIS DO PIAUI"
"8583","2112274","MA","TUFILANDIA"
"7471","2102507","MA","CAJARI"
"12459","2206670","PI","MORRO DO CHAPEU DO PIAUI"
"37893","2924405","BA","PILAO ARCADO"
"13366","2313252","CE","TARRAFAS"
"2739","1303700","AM","SANTO ANTONIO DO ICA"
"39772","2920452","BA","MANSIDAO"
"32077","2805406","SE","POCO REDONDO"
"8524","2111789","MA","SERRANO DO MARANHAO"
"10863","2205573","PI","LAGOA DE SAO FRANCISCO"
"8176","2105906","MA","LAGO VERDE"
"8460","2111722","MA","SATUBINHA"
"37311","2921500","BA","MONTE SANTO"
"8435","2107209","MA","NINA RODRIGUES"
"10421","2208650","PI","QUEIMADA NOVA"
"20001","2513158","PB","SANTA CECILIA DE UMBUZEIRO"
"9458","2112605","MA","URBANO SANTOS"
"7501","2103554","MA","CONCEICAO DO LAGO ACU"
"9091","2110609","MA","SAO BERNARDO"
"2798","1304104","AM","TAPAUA"
"10120","2202059","PI","CABECEIRAS DO PIAUI"
"27618","2703106","AL","IGACI"
"37222","2921054","BA","MATINA"
"8427","2111631","MA","SAO RAIMUNDO DA DOCA BEZERRA"
"19607","2504157","PB","CASSERENGUE"
"98370","1301951","AM","ITAMARATI"
"27910","2704609","AL","MARAVILHA"
"10880","2206654","PI","MORRO CABECA NO TEMPO"
"10960","2207959","PI","NOVA SANTA RITA"
"28177","2705903","AL","OLHO D AGUA GRANDE"
"19275","2505352","PB","DAMIAO"
"7820","2105922","MA","LAGOA DO MATO"
"8257","2106300","MA","MAGALHAES DE ALMEIDA"
"7005","2100154","MA","AGUA DOCE DO MARANHAO"
"7013","2100105","MA","AFONSO CUNHA"
"41742","3108255","MG","BONITO DE MINAS"
"7994","2105104","MA","ICATU"
"37753","2923704","BA","PARATINGA"
"3107","1400704","RR","UIRAMUTA"
"19569","2513356","PB","SANTA INES"
"10588","2211357","PI","VARZEA BRANCA"
"7285","2102077","MA","BOM LUGAR"
"12670","2202539","PI","CARAUBAS DO PIAUI"
"73113","1711951","TO","LAGOA DO TOCANTINS"
"8559","2107803","MA","PARNARAMA"
"8052","2111409","MA","SAO LUIS GONZAGA DO MARANHAO"
"12149","2201945","PI","BOQUEIRAO DO PIAUI"
"92525","1718303","TO","PRAIA NORTE"
"12602","2208874","PI","RIBEIRA DO PIAUI"
"27650","2703304","AL","INHAPI"
"17159","2405900","RN","JOAO DIAS"
"12440","2205854","PI","MADEIRO"
"28150","2705804","AL","OLHO D AGUA DO CASADO"
"23329","2612554","PE","SANTA FILOMENA"
"8346","2111078","MA","SAO JOAO DO SOTER"
"38938","2929701","BA","SATIRO DIAS"
"8605","2112456","MA","TURILANDIA"
"7137","2100709","MA","ANAJATUBA"
"7390","2102101","MA","BREJO"
"27049","2702553","AL","ESTRELA DE ALAGOAS"
"9156","2110906","MA","SAO FRANCISCO DO MARANHAO"
"2755","1303908","AM","SAO PAULO DE OLIVENCA"
"12416","2205516","PI","JUAZEIRO DO PIAUI"
"7960","2106672","MA","MILAGRES DO MARANHAO"
"7374","2101905","MA","BEQUIMAO"
"12351","2202117","PI","CAMPO ALEGRE DO FIDALGO"
"73091","1703842","TO","CAMPOS LINDOS"
"7560","2104099","MA","FORMOSA DA SERRA NEGRA"
"12203","2205524","PI","JULIO BORGES"
"10103","2202026","PI","BURITI DOS MONTES"
"19100","2505279","PB","CURRAL DE CIMA"
"7544","2104081","MA","FERNANDO FALCAO"
"1040","1200351","AC","MARECHAL THAUMATURGO"
"4898","1504505","PA","MELGACO"
"8737","2108801","MA","PIRAPEMAS"
"9350","2112100","MA","TIMBIRAS"
"9474","2112704","MA","VARGEM GRANDE"
"13072","2300408","CE","AIUABA"
"20354","2506707","PB","IMACULADA"
"17051","2405405","RN","JAPI"
"37427","2922052","BA","MULUNGU DO MORRO"
"39144","2930758","BA","SITIO DO MATO"
"26158","2615805","PE","TUPANATINGA"
"7102","2100873","MA","ARAGUANA"
"4766","1501956","PA","CACHOEIRA DO PIRIA"
"12688","2202653","PI","CAXINGO"
"12408","2205458","PI","JOCA MARQUES"
"37850","2924207","BA","PEDRO ALEXANDRE"
"28479","2707404","AL","PORTO DE PEDRAS"
"38539","2927606","BA","SANTA BRIGIDA"
"10545","2210656","PI","SIGEFREDO PACHECO"
"33782","2903953","BA","BOM JESUS DA SERRA"
"12580","2203255","PI","CURRALINHOS"
"13064","2304657","CE","GRACA"
"7072","2100402","MA","ALTAMIRA DO MARANHAO"
"13978","2304806","CE","GRANGEIRO"
"19968","2509057","PB","MARCACAO"
"27022","2706422","AL","PARICONHA"
"8141","2109270","MA","PRESIDENTE SARNEY"
"12041","2210623","PI","SEBASTIAO BARROS"
"26018","2615102","PE","TEREZINHA"
"7366","2102358","MA","BURITIRANA"
"13463","2303931","CE","CHORO"
"10944","2207553","PI","PAQUETA"
"10707","2202455","PI","CAPITAO GERVASIO OLIVEIRA"
"73296","1707405","TO","ESPERANTINA"
"7684","2105153","MA","IGARAPE DO MEIO"
"14338","2306603","CE","ITATIRA"
"27871","2704401","AL","MAJOR ISIDORO"
"12475","2206696","PI","MURICI DOS PORTELAS"
"8516","2107605","MA","PALMEIRANDIA"
"21717","2513505","PB","SANTANA DE MANGUEIRA"
"9415","2112407","MA","TURIACU"
"9555","2102002","MA","BOM JARDIM"
"19623","2506251","PB","GADO BRAVO"
"8117","2105609","MA","JOSELANDIA"
"7986","2107258","MA","NOVA COLINAS"
"21091","2510402","PB","OLHO D AGUA"
"31976","2804904","SE","PACATUBA"
"24295","2606507","PE","IATI"
"33731","2903706","BA","BOA NOVA"
"7412","2102200","MA","BURITI"
"10766","2203230","PI","CURRAIS"
"30910","2910859","BA","FILADELFIA"
"7765","2105476","MA","JENIPAPO DOS VIEIRAS"
"7145","2101350","MA","BACURITUBA"
"15881","2304236","CE","CROATA"
"27570","2702900","AL","GIRAU DO PONCIANO"
"2453","1302108","AM","JAPURA"
"8273","2106409","MA","MATA ROMA"
"14770","2308807","CE","MORAUJO"
"16578","2402907","RN","CORONEL JOAO PESSOA"
"34991","2910008","BA","DARIO MEIRA"
"13951","2304707","CE","GRANJA"
"13340","2305654","CE","IPAPORANGA"
"4774","1503903","PA","JURUTI"
"10324","2205557","PI","LAGOA ALEGRE"
"8028","2107456","MA","OLINDA NOVA DO MARANHAO"
"10405","2207751","PI","PASSAGEM FRANCA DO PIAUI"
"19640","2512036","PB","POCO DANTAS"
"38199","2925907","BA","QUIJINGUE"
"15440","2311959","CE","SALITRE"
"25879","2614402","PE","SOLIDAO"
"8710","2108702","MA","PIO XII"
"33839","2904209","BA","BOTUPORA"
"23639","2603207","PE","CAETES"
"13714","2303600","CE","CATARINA"
"34819","2909109","BA","CORIBE"
"42080","3127073","MG","FRUTA DE LEITE"
"10979","2204907","PI","ISAIAS COELHO"
"8753","2108900","MA","POCAO DE PEDRAS"
"15393","2311900","CE","SABOEIRO"
"28614","2708105","AL","SANTANA DO MUNDAU"
"41602","3162450","MG","SAO JOAO DAS MISSOES"
"19925","2500577","PB","ALGODAO DE JANDAIRA"
"4197","1501006","PA","AVEIRO"
"12696","2202729","PI","COCAL DOS ALVES"
"7757","2103901","MA","DUQUE BACELAR"
"73601","1712157","TO","LAVANDEIRA"
"12467","2206050","PI","MASSAPE DO PIAUI"
"23000","2611533","PE","QUIXABA"
"2372","1303601","AM","SANTA ISABEL DO RIO NEGRO"
"12653","2209450","PI","SANTO ANTONIO DOS MILAGRES"
"21873","2514305","PB","SAO JOSE DE CAIANA"
"15571","2312809","CE","SENADOR SA"
"16071","2400406","RN","AGUA NOVA"
"33537","2902708","BA","BARRA"
"10669","2201770","PI","BOA HORA"
"34355","2906808","BA","CANSANCAO"
"13579","2302909","CE","CAPISTRANO"
"23973","2604908","PE","CUMARU"
"16632","2403202","RN","DOUTOR SEVERIANO"
"8150","2105807","MA","LAGO DO JUNCO"
"41262","3146255","MG","PADRE CARVALHO"
"11690","2208502","PI","PORTO"
"38253","2926202","BA","RIACHAO DAS NEVES"
"92541","1718808","TO","SAMPAIO"
"9270","2111706","MA","SAO VICENTE FERRER"
"12068","2210631","PI","SEBASTIAO LEAL"
"18635","2413300","RN","SERRA DE SAO BENTO"
"13080","2313559","CE","TURURU"
"34835","2909208","BA","CORONEL JOAO SA"
"2593","1302801","AM","MARAA"
"37303","2921450","BA","MIRANTE"
"13307","2309458","CE","OCARA"
"11975","2209906","PI","SAO JOAO DA SERRA"
"7056","2100303","MA","ALDEIAS ALTAS"
"7404","2102754","MA","CAPINZAL DO NORTE"
"12181","2203271","PI","CURRAL NOVO DO PIAUI"
"7625","2104628","MA","GOVERNADOR LUIZ ROCHA"
"13005","2307254","CE","JIJOCA DE JERICOACOARA"
"73270","1712702","TO","MATEIROS"
"9598","2108108","MA","PAULO RAMOS"
"32255","2806305","SE","SANTA LUZIA DO ITANHY"
"12076","2210409","PI","SAO MIGUEL DO TAPUIO"
"22098","2515401","PB","SAO VICENTE DO SERIDO"
"13323","2313351","CE","TEJUSSUOCA"
"5657","1508308","PA","VIZEU"
"7420","2103125","MA","CENTRAL DO MARANHAO"
"27634","2703205","AL","IGREJA NOVA"
"10340","2205565","PI","LAGOA DO BARRO DO PIAUI"
"11231","2206209","PI","MIGUEL ALVES"
"15091","2310407","CE","PARAMOTI"
"12599","2208551","PI","PORTO ALEGRE DO PIAUI"
"8850","2109403","MA","PRIMEIRA CRUZ"
"13447","2303659","CE","SENADOR CATUNDA"
"12173","2210904","PI","SOCORRO DO PIAUI"
"9318","2111904","MA","SUCUPIRA DO NORTE"
"15792","2313906","CE","URUOCA"
"7110","2100600","MA","AMARANTE DO MARANHAO"
"28894","2702355","AL","CRAIBAS"
"27693","2703502","AL","JACUIPE"
"39853","2925956","BA","RAFAEL JAMBEIRO"
"18139","2410801","RN","RIACHO DE SANTANA"
"15652","2313203","CE","TAMBORIL"
"15830","2314102","CE","VICOSA DO CEARA"
"33073","2900405","BA","AGUA FRIA"
"19909","2501153","PB","AREIA DE BARAUNAS"
"19500","2502052","PB","BERNARDINO BATISTA"
"12165","2202554","PI","CARIDADE DO PIAUI"
"41904","3117836","MG","CONEGO MARINHO"
"8656","2108405","MA","PERI MIRIM"
"11614","2208106","PI","PIMENTEIRAS"
"73229","1718501","TO","RECURSOLANDIA"
"11932","2209708","PI","SAO FRANCISCO DO PIAUI"
"16063","2412559","RN","SAO MIGUEL DE TOUROS"
"98515","1304237","AM","TONANTINS"
"98558","2313757","CE","UMIRIM"
"27219","2701100","AL","BRANQUINHA"
"27294","2701506","AL","CAMPO GRANDE"
"10189","2202737","PI","COIVARAS"
"10790","2204006","PI","FRANCINOPOLIS"
"13935","2304608","CE","GENERAL SAMPAIO"
"35254","2911303","BA","GENTIO DO OURO"
"25577","2612901","PE","SAO BENEDITO DO SUL"
"13293","2301505","CE","ARNEIROZ"
"4219","1501105","PA","BAGRE"
"7552","2102903","MA","CARUTAPERA"
"36595","2917904","BA","JANDAIRA"
"8214","2106102","MA","LORETO"
"8290","2106508","MA","MATINHA"
"11339","2206704","PI","NAZARE DO PIAUI"
"39799","2922656","BA","NORDESTINA"
"73024","1718550","TO","RIACHINHO"
"32492","2807501","SE","TOMAR DO GERU"
"33413","2902104","BA","ARACI"
"7218","2101103","MA","AXIXA"
"7188","2101772","MA","BELA VISTA"
"33758","2903805","BA","BOA VISTA DO TUPIM"
"7595","2103109","MA","CEDRAL"
"8206","2109759","MA","SANTA FILOMENA DO MARANHAO"
"15431","2312106","CE","SANTANA DO CARIRI"
"10987","2209971","PI","SAO JOAO DO ARRAIAL"
"73180","1720200","TO","SAO MIGUEL DO TOCANTINS"
"4669","1508035","PA","TRACUATEUA"
"9431","2112506","MA","TUTOIA"
"27170","2700904","AL","BELO MONTE"
"23353","2601805","PE","BETANIA"
"36811","2919009","BA","LAJEDINHO"
"8311","2106607","MA","MATOES"
"12491","2207934","PI","PEDRO LAURENTINO"
"32115","2805604","SE","PORTO DA FOLHA"
"73539","1720002","TO","SANTA TEREZINHA DO TOCANTINS"
"21857","2514206","PB","SAO JOSE DA LAGOA TAPADA"
"10197","2201002","PI","ARRAIAL"
"31135","2800704","SE","BREJO GRANDE"
"10642","2201988","PI","BREJO DO PIAUI"
"23558","2602803","PE","BUIQUE"
"73423","1703891","TO","CARRASCO BONITO"
"10286","2205151","PI","JACOBINA DO PIAUI"
"12424","2205581","PI","LAGOA DO PIAUI"
"11355","2206803","PI","NOSSA SENHORA DOS REMEDIOS"
"8630","2108306","MA","PENALVA"
"38067","2925253","BA","PONTO NOVO"
"19445","2514552","PB","SAO JOSE DE PRINCESA"
"19038","2500205","PB","AGUIAR"
"13404","2302057","CE","BARROQUINHA"
"7528","2104073","MA","FEIRA NOVA DO MARANHAO"
"12637","2203859","PI","FLORESTA DO PIAUI"
"36013","2915007","BA","ITAETE"
"10308","2205250","PI","JARDIM DO MULATO"
"17256","2406304","RN","LAGOA DE PEDRAS"
"37052","2920205","BA","MALHADA"
"21610","2513000","PB","SALGADINHO"
"9652","2110039","MA","SANTA LUZIA DO PARUA"
"7030","2100204","MA","ALCANTARA"
"33383","2902054","BA","ARACAS"
"7129","2101251","MA","BACABEIRA"
"73610","1703073","TO","BARRA DO OURO"
"7331","2101707","MA","BARREIRINHAS"
"2976","1300680","AM","BOA VISTA DE RAMOS"
"2178","1300805","AM","BORBA"
"20192","2505907","PB","EMAS"
"2496","1302306","AM","JUTAI"
"36765","2918753","BA","LAGOA REAL"
"24830","2609204","PE","MARAIAL"
"11215","2206100","PI","MATIAS OLIMPIO"
"10928","2206753","PI","NOSSA SENHORA DE NAZARE"
"12289","2207850","PI","PAVUSSU"
"39047","2930154","BA","SERRA DO RAMALHO"
"39314","2931608","BA","TEOLANDIA"
"42528","3171030","MG","VERDELANDIA"
"23086","2616183","PE","VERTENTE DO LERIO"
"7048","2100477","MA","ALTO ALEGRE DO PINDARE"
"34096","2905503","BA","CALDEIRAO GRANDE"
"7463","2103174","MA","CENTRO NOVO DO MARANHAO"
"12378","2204154","PI","FRANCISCO MACEDO"
"35297","2911501","BA","GONGOGI"
"42269","3135357","MG","JAPONVAR"
"27758","2703809","AL","JOAQUIM GOMES"
"20710","2508505","PB","LIVRAMENTO"
"39756","2919959","BA","MAETINGA"
"20818","2509008","PB","MANAIRA"
"27995","2705002","AL","MATA GRANDE"
"37940","2924678","BA","PIRAI DO NORTE"
"28495","2707503","AL","PORTO REAL DO COLEGIO"
"13277","2301406","CE","ARATUBA"
"19712","2503506","PB","CACIMBA DE DENTRO"
"7498","2102606","MA","CANDIDO MENDES"
"27359","2701803","AL","CARNEIROS"
"10537","2202703","PI","COCAL"
"10227","2202778","PI","COLONIA DO PIAUI"
"43397","3117009","MG","COMERCINHO"
"20150","2505709","PB","DONA INES"
"7897","2104602","MA","GOVERNADOR EUGENIO BARROS"
"20451","2507200","PB","ITATUBA"
"7781","2105658","MA","JUNCO DO MARANHAO"
"19984","2509396","PB","MATUREIA"
"21059","2510204","PB","NOVA OLINDA"
"11495","2207504","PI","PALMEIRAIS"
"8575","2107902","MA","PASSAGEM FRANCA"
"23108","2612455","PE","SANTA CRUZ"
"41521","3160454","MG","SANTO ANTONIO DO RETIRO"
"10529","2210052","PI","SAO JOSE DO DIVINO"
"8362","2111250","MA","SAO JOSE DOS BASILIOS"
"8400","2111573","MA","SAO PEDRO DOS CRENTES"
"18716","2413706","RN","SITIO NOVO"
"22330","2516607","PB","TAVARES"
"19780","2501575","PB","BARRA DE SANTANA"
"13455","2302305","CE","BELA CRUZ"
"2119","1300508","AM","BARREIRINHA"
"33871","2904407","BA","BREJOLANDIA"
"34029","2905156","BA","CAETANOS"
"20079","2505303","PB","CURRAL VELHO"
"12386","2205359","PI","JOAO COSTA"
"27774","2703908","AL","JUNDIA"
"10847","2205532","PI","JUREMA"
"27812","2704104","AL","LAGOA DA CANOA"
"14737","2308609","CE","MONSENHOR TABOSA"
"37621","2923050","BA","NOVO TRIUNFO"
"8087","2108454","MA","PERITORO"
"15717","2313500","CE","TRAIRI"
"33235","2901205","BA","ANAGE"
"13170","2300903","CE","APUIARES"
"23493","2602506","PE","BREJINHO"
"10472","2202406","PI","CAPITAO DE CAMPOS"
"27375","2701902","AL","CHA PRETA"
"42200","3129657","MG","IBIRACATU"
"20753","2508703","PB","MAE D AGUA"
"7900","2106359","MA","MARAJA DO SENA"
"14591","2307908","CE","MARTINOPOLE"
"37834","2924108","BA","PEDRAO"
"12661","2210383","PI","SAO MIGUEL DA BAIXA GRANDE"
"13633","2303204","CE","CARIRIACU"
"10812","2204105","PI","FRANCISCO AYRES"
"14060","2305266","CE","IBARETAMA"
"14230","2306108","CE","IRAUCUBA"
"30678","2917359","BA","JABORANDI"
"11070","2205409","PI","JOAQUIM PIRES"
"24716","2608602","PE","LAGOA DO OURO"
"40444","3140852","MG","MATIAS CARDOSO"
"37290","2921401","BA","MIRANGABA"
"12483","2207108","PI","OLHO DAGUA DO PIAUI"
"28231","2706208","AL","PALESTINA"
"21334","2511608","PB","PILOES"
"19283","2516151","PB","SOSSEGO"
"19887","2517209","PB","VIEIROPOLIS"
"15873","2300754","CE","AMONTADA"
"7323","2101970","MA","BOA VISTA DO GURUPI"
"73067","1703826","TO","CACHOEIRINHA"
"10723","2202133","PI","CAMPO GRANDE DO PIAUI"
"4499","1502509","PA","CHAVES"
"27391","2702009","AL","COITE DO NOIA"
"20133","2505600","PB","DIAMANTE"
"36315","2916500","BA","ITAPICURU"
"20613","2508000","PB","JURU"
"20699","2508406","PB","LASTRO"
"41084","3143153","MG","MONTE FORMOSO"
"19747","2512721","PB","PEDRO REGIS"
"5193","1506005","PA","PRAINHA"
"12025","2209955","PI","SAO JOAO DA VARJOTA"
"12033","2210201","PI","SAO JOSE DO PIAUI"
"12530","2210953","PI","TAMBORIL DO PIAUI"
"10626","2201556","PI","BELA VISTA DO PIAUI"
"33472","2902401","BA","AURELINO LEAL"
"10219","2201101","PI","AVELINO LOPES"
"10294","2201507","PI","BATALHA"
"27251","2701308","AL","CAJUEIRO"
"10162","2202251","PI","CANAVIEIRA"
"15954","2306553","CE","ITAREMA"
"7803","2105948","MA","LAGO DOS RODRIGUES"
"27839","2704203","AL","LIMOEIRO DE ANADIA"
"17710","2408607","RN","PARANA"
"40584","3152170","MG","PONTO DOS VOLANTES"
"8931","2109700","MA","SAMBAIBA"
"18791","2414100","RN","TENENTE ANANIAS"
"12564","2211704","PI","WALL FERRAZ"
"7439","2102309","MA","BURITI BRAVO"
"12572","2202083","PI","CAJUEIRO DA PRAIA"
"36935","2919603","BA","MACAJUBA"
"28053","2705309","AL","MINADOR DO NEGRAO"
"28312","2706604","AL","PAULO JACINTO"
"15210","2311009","CE","PORANGA"
"28819","2709103","AL","TAQUARANA"
"7021","2100436","MA","ALTO ALEGRE DO MARANHAO"
"13250","2301307","CE","ARARIPE"
"33898","2904506","BA","BROTAS DE MACAUBAS"
"2194","1300904","AM","CANUTAMA"
"34509","2907558","BA","CATURAMA"
"4740","1502855","PA","CURUA"
"35700","2913457","BA","IGRAPIUNA"
"73059","1712801","TO","MAURILANDIA DO TOCANTINS"
"21210","2511004","PB","PEDRA BRANCA"
"8125","2109239","MA","PRESIDENTE MEDICI"
"8990","2110104","MA","SANTA QUITERIA DO MARANHAO"
"12556","2211506","PI","VERA MENDES"
"10057","2200301","PI","ALTO LONGA"
"19380","2503753","PB","CAJAZEIRINHAS"
"10413","2202109","PI","CAMPINAS DO PIAUI"
"13811","2304004","CE","COREAU"
"16551","2402808","RN","CORONEL EZEQUIEL"
"4553","1502806","PA","CURRALINHO"
"1139","1200302","AC","FEIJO"
"27553","2702801","AL","FLEXEIRAS"
"17574","2407906","RN","MONTE DAS GAMELEIRAS"
"21016","2510006","PB","NAZAREZINHO"
"11436","2207207","PI","PADRE MARCOS"
"13048","2310951","CE","PIRES FERREIRA"
"19208","2512747","PB","RIACHAO"
"32158","2805802","SE","RIACHAO DO DANTAS"
"12629","2210375","PI","SAO LUIS DO PIAUI"
"9393","2112308","MA","TUNTUM"
"15750","2313708","CE","UMARI"
"7080","2100550","MA","AMAPA DO MARANHAO"
"10600","2201176","PI","BARRA DALCANTARA"
"33960","2904852","BA","CABACEIRAS DO PARAGUACU"
"34410","2907103","BA","CARINHANHA"
"10685","2203453","PI","DOM INOCENCIO"
"4596","1503002","PA","FARO"
"12220","2205599","PI","LAGOA DO SITIO"
"11177","2205904","PI","MANOEL EMIDIO"
"19488","2509370","PB","MATO GROSSO"
"17914","2409605","RN","PEDRA PRETA"
"11576","2207900","PI","PEDRO II"
"38318","2926509","BA","RIBEIRA DO AMPARO"
"28550","2707800","AL","ROTEIRO"
"4146","1506559","PA","SANTA LUZIA DO PARA"
"28630","2708204","AL","SAO BRAS"
"12211","2211100","PI","UNIAO"
"2879","1304401","AM","URUCURITUBA"
"30716","2901155","BA","AMERICA DOURADA"
"19151","2500809","PB","ARACAGI"
"9679","2100956","MA","ARAME"
"13315","2301604","CE","ASSARE"
"12335","2201572","PI","BELEM DO PIAUI"
"19062","2504033","PB","CAPIM"
"20230","2506103","PB","FAGUNDES"
"7838","2104305","MA","GODOFREDO VIANA"
"23302","2607950","PE","JAQUEIRA"
"14680","2308377","CE","MIRAIMA"
"20893","2509404","PB","MOGEIRO"
"25852","2614303","PE","MOREILANDIA"
"28118","2705606","AL","NOVO LINO"
"8109","2109056","MA","PORTO RICO DO MARANHAO"
"1082","1200427","AC","RODRIGUES ALVES"
"18333","2411700","RN","SAO BENTO DO TRAIRI"
"8486","2111748","MA","SENADOR ALEXANDRE COSTA"
"23060","2616506","PE","XEXEU"
"23078","2600401","PE","AGUA PRETA"
"23094","2600500","PE","AGUAS BELAS"
"13650","2303303","CE","CARIUS"
"23140","2605152","PE","DORMENTES"
"10782","2204352","PI","GEMINIANO"
"14494","2307403","CE","JUCAS"
"23124","2608255","PE","JUCATI"
"4855","1504307","PA","MARACANA"
"28010","2705101","AL","MATRIZ DE CAMARAGIBE"
"21350","2511707","PB","PILOEZINHOS"
"41483","3157377","MG","SANTA CRUZ DE SALINAS"
"8508","2111763","MA","SENADOR LA ROQUE"
"10049","2201150","PI","BAIXA GRANDE DO RIBEIRO"
"19437","2502102","PB","BOA VENTURA"
"23779","2603900","PE","CARNAIBA"
"7692","2103604","MA","COROATA"
"36080","2915353","BA","ITAGUACU DA BAHIA"
"8338","2106706","MA","MIRADOR"
"14796","2308906","CE","MORRINHOS"
"3115","1400407","RR","NORMANDIA"
"96792","1718758","TO","RIO SONO"
"8974","2110005","MA","SANTA LUZIA"
"18759","2413904","RN","TAIPU"
